protocol,window,horizon,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,direction_accuracy,skill,overlapping_issue_pairs,total_issue_pairs
frozen_transfer,14,30,basket_abstain,12,5,5,2026-08-10,2026-08-14,0.16790877550613417,0.23592148359940412,0.15667902834303507,1,0.6519015351477437,10,10
frozen_transfer,14,30,basket_abstain,24,5,5,2026-08-10,2026-08-14,0.23742598681113686,0.29502034272436917,0.23742598681113686,1,0.358308143753684,10,10
frozen_transfer,14,30,basket_abstain,6,5,5,2026-08-10,2026-08-14,0.570356433028673,0.5765513843618655,-0.570356433028673,1,0.541794054252488,10,10
frozen_transfer,14,30,basket_abstain,all,15,5,2026-08-10,2026-08-14,0.32523039844864804,0.3979562152861089,-0.0587504726248337,1,0.5347470839313229,10,10
frozen_transfer,14,30,gap,12,5,5,2026-08-10,2026-08-14,0.5140199999999997,0.5373658772196086,-0.5140199999999997,0,-0.0656356248445149,10,10
frozen_transfer,14,30,gap,24,5,5,2026-08-10,2026-08-14,0.37445999999999985,0.4109492499080634,-0.37445999999999985,0,-0.012054054054053909,10,10
frozen_transfer,14,30,gap,6,5,5,2026-08-10,2026-08-14,1.32952,1.3306851333053964,-1.32952,0,-0.06809344773289627,10,10
frozen_transfer,14,30,gap,all,15,5,2026-08-10,2026-08-14,0.7393333333333332,0.8618515525696212,-0.7393333333333332,0,-0.05764095521477075,10,10
frozen_transfer,14,30,retail,12,5,5,2026-08-10,2026-08-14,0.16009988173165196,0.23818932027211945,0.16009988173165196,1,0.6680904682567955,10,10
frozen_transfer,14,30,retail,24,5,5,2026-08-10,2026-08-14,0.2359417949044798,0.29159602782274247,0.2359417949044798,1,0.36231947323113556,10,10
frozen_transfer,14,30,retail,6,5,5,2026-08-10,2026-08-14,0.5559542177058189,0.5577259190078794,-0.5559542177058189,1,0.5533643291029444,10,10
frozen_transfer,14,30,retail,all,15,5,2026-08-10,2026-08-14,0.31733196478065023,0.3885102300098328,-0.053304180356562376,1,0.5460460563334713,10,10
frozen_transfer,14,30,rolling,12,5,5,2026-08-10,2026-08-14,0.15730642069528386,0.20385083287630712,0.10931956839529186,1,0.6738817051677501,10,10
frozen_transfer,14,30,rolling,24,5,5,2026-08-10,2026-08-14,0.23356316690517423,0.29091359063732747,0.23356316690517423,1,0.368748197553583,10,10
frozen_transfer,14,30,rolling,6,5,5,2026-08-10,2026-08-14,0.35586002099227465,0.36626909363566296,-0.35586002099227465,1,0.714113547196026,10,10
frozen_transfer,14,30,rolling,all,15,5,2026-08-10,2026-08-14,0.2489098695309109,0.294583846714059,-0.00432576189726952,1,0.6439261422366231,10,10
frozen_transfer,14,30,unchanged,12,5,5,2026-08-10,2026-08-14,0.48235999999999957,0.5114554956200974,-0.48235999999999957,0,0.0,10,10
frozen_transfer,14,30,unchanged,24,5,5,2026-08-10,2026-08-14,0.36999999999999994,0.4054873610853982,-0.36999999999999994,0,0.0,10,10
frozen_transfer,14,30,unchanged,6,5,5,2026-08-10,2026-08-14,1.24476,1.2454118772518594,-1.24476,0,0.0,10,10
frozen_transfer,14,30,unchanged,all,15,5,2026-08-10,2026-08-14,0.6990399999999999,0.8117999482631173,-0.6990399999999999,0,0.0,10,10
rolling_observed_seller_data,7,14,basket,12,51,51,2026-05-23,2026-07-12,0.30622837826194804,0.398144657440736,0.19877627010458182,0.5490196078431373,0.017634463998027483,572,1275
