id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|rolling_observed|2026-05-11|per_term|24,30,native,rolling_observed,2026-05-11,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-12|pooled|all,30,native,rolling_observed,2026-05-12,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-12|per_term|6,30,native,rolling_observed,2026-05-12,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-12|per_term|12,30,native,rolling_observed,2026-05-12,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-12|per_term|24,30,native,rolling_observed,2026-05-12,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-13|pooled|all,30,native,rolling_observed,2026-05-13,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-13|per_term|6,30,native,rolling_observed,2026-05-13,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-13|per_term|12,30,native,rolling_observed,2026-05-13,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-13|per_term|24,30,native,rolling_observed,2026-05-13,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-14|pooled|all,30,native,rolling_observed,2026-05-14,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-14|per_term|6,30,native,rolling_observed,2026-05-14,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-14|per_term|12,30,native,rolling_observed,2026-05-14,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-14|per_term|24,30,native,rolling_observed,2026-05-14,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-15|pooled|all,30,native,rolling_observed,2026-05-15,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-15|per_term|6,30,native,rolling_observed,2026-05-15,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-15|per_term|12,30,native,rolling_observed,2026-05-15,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-15|per_term|24,30,native,rolling_observed,2026-05-15,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-16|pooled|all,30,native,rolling_observed,2026-05-16,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-16|per_term|6,30,native,rolling_observed,2026-05-16,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-16|per_term|12,30,native,rolling_observed,2026-05-16,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-16|per_term|24,30,native,rolling_observed,2026-05-16,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-17|pooled|all,30,native,rolling_observed,2026-05-17,pooled,all,observed_seller_data,3,1,3,False
30|native|rolling_observed|2026-05-17|per_term|6,30,native,rolling_observed,2026-05-17,per_term,6,observed_seller_data,1,1,1,False
30|native|rolling_observed|2026-05-17|per_term|12,30,native,rolling_observed,2026-05-17,per_term,12,observed_seller_data,1,1,1,False
30|native|rolling_observed|2026-05-17|per_term|24,30,native,rolling_observed,2026-05-17,per_term,24,observed_seller_data,1,1,1,False
30|native|rolling_observed|2026-05-18|pooled|all,30,native,rolling_observed,2026-05-18,pooled,all,observed_seller_data,6,2,3,False
30|native|rolling_observed|2026-05-18|per_term|6,30,native,rolling_observed,2026-05-18,per_term,6,observed_seller_data,2,2,1,False
30|native|rolling_observed|2026-05-18|per_term|12,30,native,rolling_observed,2026-05-18,per_term,12,observed_seller_data,2,2,1,False
30|native|rolling_observed|2026-05-18|per_term|24,30,native,rolling_observed,2026-05-18,per_term,24,observed_seller_data,2,2,1,False
30|native|rolling_observed|2026-05-19|pooled|all,30,native,rolling_observed,2026-05-19,pooled,all,observed_seller_data,9,3,3,False
30|native|rolling_observed|2026-05-19|per_term|6,30,native,rolling_observed,2026-05-19,per_term,6,observed_seller_data,3,3,1,False
30|native|rolling_observed|2026-05-19|per_term|12,30,native,rolling_observed,2026-05-19,per_term,12,observed_seller_data,3,3,1,False
30|native|rolling_observed|2026-05-19|per_term|24,30,native,rolling_observed,2026-05-19,per_term,24,observed_seller_data,3,3,1,False
30|native|rolling_observed|2026-05-20|pooled|all,30,native,rolling_observed,2026-05-20,pooled,all,observed_seller_data,12,4,3,False
30|native|rolling_observed|2026-05-20|per_term|6,30,native,rolling_observed,2026-05-20,per_term,6,observed_seller_data,4,4,1,False
30|native|rolling_observed|2026-05-20|per_term|12,30,native,rolling_observed,2026-05-20,per_term,12,observed_seller_data,4,4,1,False
30|native|rolling_observed|2026-05-20|per_term|24,30,native,rolling_observed,2026-05-20,per_term,24,observed_seller_data,4,4,1,False
30|native|rolling_observed|2026-05-21|pooled|all,30,native,rolling_observed,2026-05-21,pooled,all,observed_seller_data,15,5,3,False
30|native|rolling_observed|2026-05-21|per_term|6,30,native,rolling_observed,2026-05-21,per_term,6,observed_seller_data,5,5,1,False
30|native|rolling_observed|2026-05-21|per_term|12,30,native,rolling_observed,2026-05-21,per_term,12,observed_seller_data,5,5,1,False
30|native|rolling_observed|2026-05-21|per_term|24,30,native,rolling_observed,2026-05-21,per_term,24,observed_seller_data,5,5,1,False
30|native|rolling_observed|2026-05-22|pooled|all,30,native,rolling_observed,2026-05-22,pooled,all,observed_seller_data,18,6,3,False
30|native|rolling_observed|2026-05-22|per_term|6,30,native,rolling_observed,2026-05-22,per_term,6,observed_seller_data,6,6,1,False
30|native|rolling_observed|2026-05-22|per_term|12,30,native,rolling_observed,2026-05-22,per_term,12,observed_seller_data,6,6,1,False
30|native|rolling_observed|2026-05-22|per_term|24,30,native,rolling_observed,2026-05-22,per_term,24,observed_seller_data,6,6,1,False
30|native|rolling_observed|2026-05-23|pooled|all,30,native,rolling_observed,2026-05-23,pooled,all,observed_seller_data,21,7,3,False
30|native|rolling_observed|2026-05-23|per_term|6,30,native,rolling_observed,2026-05-23,per_term,6,observed_seller_data,7,7,1,False
30|native|rolling_observed|2026-05-23|per_term|12,30,native,rolling_observed,2026-05-23,per_term,12,observed_seller_data,7,7,1,False
30|native|rolling_observed|2026-05-23|per_term|24,30,native,rolling_observed,2026-05-23,per_term,24,observed_seller_data,7,7,1,False
30|native|rolling_observed|2026-05-24|pooled|all,30,native,rolling_observed,2026-05-24,pooled,all,observed_seller_data,24,8,3,False
30|native|rolling_observed|2026-05-24|per_term|6,30,native,rolling_observed,2026-05-24,per_term,6,observed_seller_data,8,8,1,False
30|native|rolling_observed|2026-05-24|per_term|12,30,native,rolling_observed,2026-05-24,per_term,12,observed_seller_data,8,8,1,False
30|native|rolling_observed|2026-05-24|per_term|24,30,native,rolling_observed,2026-05-24,per_term,24,observed_seller_data,8,8,1,False
30|native|rolling_observed|2026-05-25|pooled|all,30,native,rolling_observed,2026-05-25,pooled,all,observed_seller_data,27,9,3,False
