panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Fortum Markets Oy,24,observed_seller_data,7,75,24,24,0,24,24,0,0,1,1,1.0,1.0,0.32
same_id,Fortum Markets Oy,24,observed_seller_data,14,75,17,17,0,17,17,0,0,1,1,1.0,1.0,0.22666666666666666
same_id,Fortum Markets Oy,24,observed_seller_data,30,75,1,1,0,1,1,0,0,1,1,1.0,1.0,0.013333333333333334
same_id,Fortum Markets Oy,24,observed_seller_data,45,75,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Fortum Markets Oy,24,observed_seller_data,60,59,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Fortum Markets Oy,24,observed_seller_data,90,12,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,canonical_calculation,7,1,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,canonical_calculation,14,1,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,canonical_calculation,30,1,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,canonical_calculation,45,1,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,6,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,6,observed_seller_data,7,104,63,60,3,63,60,3,0,5,5,0.9523809523809523,0.9523809523809523,0.6057692307692307
same_id,Hehku Energia Oy,6,observed_seller_data,14,104,37,37,0,37,37,0,0,3,3,1.0,1.0,0.3557692307692308
same_id,Hehku Energia Oy,6,observed_seller_data,30,104,1,1,0,1,1,0,0,1,1,1.0,1.0,0.009615384615384616
same_id,Hehku Energia Oy,6,observed_seller_data,45,104,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,observed_seller_data,60,95,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,6,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,12,canonical_calculation,7,82,40,40,0,40,40,0,0,5,5,1.0,1.0,0.4878048780487805
same_id,Hehku Energia Oy,12,canonical_calculation,14,68,22,22,0,22,22,0,0,2,2,1.0,1.0,0.3235294117647059
same_id,Hehku Energia Oy,12,canonical_calculation,30,36,3,3,0,3,3,0,0,1,1,1.0,1.0,0.08333333333333333
same_id,Hehku Energia Oy,12,canonical_calculation,45,8,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,12,observed_seller_data,7,220,168,168,0,168,168,0,0,4,4,1.0,1.0,0.7636363636363637
same_id,Hehku Energia Oy,12,observed_seller_data,14,220,140,140,0,140,140,0,0,4,4,1.0,1.0,0.6363636363636364
same_id,Hehku Energia Oy,12,observed_seller_data,30,220,76,76,0,76,76,0,0,2,2,1.0,1.0,0.34545454545454546
same_id,Hehku Energia Oy,12,observed_seller_data,45,220,46,46,0,46,46,0,0,2,2,1.0,1.0,0.20909090909090908
same_id,Hehku Energia Oy,12,observed_seller_data,60,198,16,16,0,16,16,0,0,2,2,1.0,1.0,0.08080808080808081
same_id,Hehku Energia Oy,12,observed_seller_data,90,138,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,24,canonical_calculation,7,82,63,63,0,63,63,0,0,2,2,1.0,1.0,0.7682926829268293
