status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,5000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,18000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,2000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,5000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,kw0pi8-turku-energia-oy-louna-helppo-xs,18000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,fixed_term_below6,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,2000,fixed_term_7_11,fixed_term_7_11,7,2026-01-21,2026-01-27,"{""canonical_outcome_not_listed"": 7}"
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,5000,fixed_term_7_11,fixed_term_7_11,7,2026-01-21,2026-01-27,"{""canonical_outcome_not_listed"": 7}"
lost,mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk,18000,fixed_term_7_11,fixed_term_7_11,7,2026-01-21,2026-01-27,"{""canonical_outcome_not_listed"": 7}"
lost,osszso-aalto-energia-oyj-luotsi-porssisahko-tarjous-perusmaksu-099-ensimmaiset-12kk,2000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,osszso-aalto-energia-oyj-luotsi-porssisahko-tarjous-perusmaksu-099-ensimmaiset-12kk,5000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,osszso-aalto-energia-oyj-luotsi-porssisahko-tarjous-perusmaksu-099-ensimmaiset-12kk,18000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,fixed_term_7_11,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,fixed_term_7_11,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,fixed_term_7_11,4,2026-01-30,2026-02-02,"{""canonical_outcome_not_listed"": 4}"
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,fixed_term_7_11,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,fixed_term_7_11,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,fixed_term_7_11,3,2026-01-27,2026-01-29,"{""canonical_outcome_not_listed"": 3}"
lost,sk027a-hehku-energia-oy-hehku-jatkuva,2000,open_ended,open_ended,7,2026-08-05,2026-08-11,"{""canonical_outcome_not_listed"": 7}"
lost,sk027a-hehku-energia-oy-hehku-jatkuva,5000,open_ended,open_ended,7,2026-08-05,2026-08-11,"{""canonical_outcome_not_listed"": 7}"
