status,contract,kwh,segment,guard_or_reason,pair_days,first_date,last_date
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,fixed_term_6,term_price_annualized,28,2026-03-19,2026-04-15
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,2000,fixed_term_6,term_price_annualized,14,2026-07-09,2026-07-22
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,5000,fixed_term_6,term_price_annualized,14,2026-07-09,2026-07-22
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,18000,fixed_term_6,term_price_annualized,14,2026-07-09,2026-07-22
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,2000,fixed_term_6,term_price_annualized,1,2026-01-28,2026-01-28
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,5000,fixed_term_6,term_price_annualized,1,2026-01-28,2026-01-28
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,18000,fixed_term_6,term_price_annualized,1,2026-01-28,2026-01-28
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,2000,fixed_term_6,term_price_annualized,7,2026-05-06,2026-05-12
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,5000,fixed_term_6,term_price_annualized,7,2026-05-06,2026-05-12
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,18000,fixed_term_6,term_price_annualized,7,2026-05-06,2026-05-12
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,fixed_term_6,term_price_annualized,8,2026-03-04,2026-03-11
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,fixed_term_6,term_price_annualized,8,2026-03-04,2026-03-11
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,fixed_term_6,term_price_annualized,8,2026-03-04,2026-03-11
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,2000,fixed_term_6,term_price_annualized,7,2026-05-30,2026-06-05
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,5000,fixed_term_6,term_price_annualized,7,2026-05-30,2026-06-05
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,18000,fixed_term_6,term_price_annualized,7,2026-05-30,2026-06-05
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,2000,fixed_term_6,term_price_annualized,2,2026-01-21,2026-01-22
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,5000,fixed_term_6,term_price_annualized,2,2026-01-21,2026-01-22
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,18000,fixed_term_6,term_price_annualized,2,2026-01-21,2026-01-22
