date,segment,consumption,count,median_eur,dominant,methods
2026-07-23,quarterly,2000,13,272.80695658602144,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-23,quarterly,5000,13,593.8173914650537,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-23,quarterly,18000,13,1984.862609274193,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-23,spot,2000,59,248.7733510645883,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-23,spot,5000,59,545.0333776614708,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-23,spot,18000,57,1835.7601595812948,forward_curve_spot,"{""forward_curve_spot"":57}"
2026-07-24,fixed_term_12,2000,49,264.8,none,"{""none"":49}"
2026-07-24,fixed_term_12,5000,49,582.3800000000001,none,"{""none"":49}"
2026-07-24,fixed_term_12,18000,47,1945.4000000000003,none,"{""none"":47}"
2026-07-24,fixed_term_13_23,2000,2,259.49,none,"{""none"":2}"
2026-07-24,fixed_term_13_23,5000,2,554.99,none,"{""none"":2}"
2026-07-24,fixed_term_13_23,18000,2,1835.4900000000002,none,"{""none"":2}"
2026-07-24,fixed_term_24,2000,49,248.20000000000005,none,"{""none"":49}"
2026-07-24,fixed_term_24,5000,49,538.2500000000001,none,"{""none"":49}"
2026-07-24,fixed_term_24,18000,47,1785.5175000000002,none,"{""none"":47}"
2026-07-24,fixed_term_6,2000,20,287.69,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-24,fixed_term_6,5000,20,638.9688037634409,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-24,fixed_term_6,18000,20,2173.771693548387,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-24,fixed_term_other,2000,1,250.19999999999996,none,"{""none"":1}"
2026-07-24,fixed_term_other,5000,1,561.6,none,"{""none"":1}"
2026-07-24,fixed_term_other,18000,1,1911.0000000000002,none,"{""none"":1}"
2026-07-24,fixed_term_over24,2000,1,228.65000000000003,none,"{""none"":1}"
2026-07-24,fixed_term_over24,5000,1,498.05000000000007,none,"{""none"":1}"
2026-07-24,fixed_term_over24,18000,1,1665.45,none,"{""none"":1}"
2026-07-24,hybrid,2000,42,239.72431424731178,hybrid_base_only,"{""hybrid_base_only"":39,""none"":1,""recurring_forward_curve_shift"":2}"
2026-07-24,hybrid,5000,38,511.80000000000007,hybrid_base_only,"{""hybrid_base_only"":35,""none"":1,""recurring_forward_curve_shift"":2}"
2026-07-24,hybrid,18000,38,1709.959414112903,hybrid_base_only,"{""hybrid_base_only"":35,""none"":1,""recurring_forward_curve_shift"":2}"
2026-07-24,open_ended,2000,56,335.5924179939516,supplier_adjusted_forward_premium,"{""none"":7,""recurring_forward_curve_shift"":9,""supplier_adjusted_forward_curve_shift"":18,""supplier_adjusted_forward_premium"":22}"
2026-07-24,open_ended,5000,56,749.5891354166667,supplier_adjusted_forward_premium,"{""none"":6,""recurring_forward_curve_shift"":11,""supplier_adjusted_forward_curve_shift"":17,""supplier_adjusted_forward_premium"":22}"
2026-07-24,open_ended,18000,56,2549.2404846774193,supplier_adjusted_forward_premium,"{""none"":6,""recurring_forward_curve_shift"":11,""supplier_adjusted_forward_curve_shift"":17,""supplier_adjusted_forward_premium"":22}"
2026-07-24,quarterly,2000,13,274.2843142473118,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-24,quarterly,5000,13,597.5107856182794,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-24,quarterly,18000,13,1998.1588282258058,recurring_forward_curve_shift,"{""none"":3,""recurring_forward_curve_shift"":10}"
2026-07-24,spot,2000,59,251.37354467034538,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-24,spot,5000,59,548.4138616758635,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-24,spot,18000,57,1841.1619020331082,forward_curve_spot,"{""forward_curve_spot"":57}"
