cohort,model,term,threshold,n,issue_days,first_issue,last_issue,correct,correct_rate,missed_move,missed_move_rate,false_move,false_move_rate,wrong_way,wrong_way_rate,actual_down,down__down,down__flat,down__up,down_recall_numerator,down_recall_denominator,down_recall,down_precision_numerator,down_precision_denominator,down_precision,actual_flat,flat__down,flat__flat,flat__up,flat_recall_numerator,flat_recall_denominator,flat_recall,flat_precision_numerator,flat_precision_denominator,flat_precision,actual_up,up__down,up__flat,up__up,up_recall_numerator,up_recall_denominator,up_recall,up_precision_numerator,up_precision_denominator,up_precision,balanced_accuracy
older57,always_up,6,0.05,19,19,2026-06-08,2026-06-26,19,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,19,0,0,19,19,19,1.0,19,19,1.0,
older57,always_up,all,0.15,57,19,2026-06-08,2026-06-26,39,0.6842105263157895,0,0.0,16,0.2807017543859649,2,0.03508771929824561,2,0,0,2,0,2,0.0,0,0,,16,0,0,16,0,16,0.0,0,0,,39,0,0,39,39,39,1.0,39,57,0.6842105263157895,0.3333333333333333
older57,always_up,all,0.10,57,19,2026-06-08,2026-06-26,39,0.6842105263157895,0,0.0,16,0.2807017543859649,2,0.03508771929824561,2,0,0,2,0,2,0.0,0,0,,16,0,0,16,0,16,0.0,0,0,,39,0,0,39,39,39,1.0,39,57,0.6842105263157895,0.3333333333333333
older57,always_up,all,0.05,57,19,2026-06-08,2026-06-26,39,0.6842105263157895,0,0.0,16,0.2807017543859649,2,0.03508771929824561,2,0,0,2,0,2,0.0,0,0,,16,0,0,16,0,16,0.0,0,0,,39,0,0,39,39,39,1.0,39,57,0.6842105263157895,0.3333333333333333
older57,basket,12,0.15,19,19,2026-06-08,2026-06-26,6,0.3157894736842105,3,0.15789473684210525,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,3,0.0,9,0,3,6,6,9,0.6666666666666666,6,16,0.375,0.2222222222222222
older57,basket,12,0.10,19,19,2026-06-08,2026-06-26,7,0.3684210526315789,2,0.10526315789473684,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,2,0.0,9,0,2,7,7,9,0.7777777777777778,7,17,0.4117647058823529,0.25925925925925924
older57,basket,12,0.05,19,19,2026-06-08,2026-06-26,8,0.42105263157894735,1,0.05263157894736842,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,1,0.0,9,0,1,8,8,9,0.8888888888888888,8,18,0.4444444444444444,0.2962962962962963
older57,basket,24,0.15,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
older57,basket,24,0.10,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
older57,basket,24,0.05,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
