company,term,issue_date,target_date,current,actual,market_current,hedge,trade_date,supplier_history_n,supplier_history_observed,supplier_history_canonical,supplier_history_unique_levels,supplier_history_median_changes,supplier_history_curve_failures,supplier_history_missing_dates,supplier_history_last_date,market_history_n,market_history_observed,market_history_canonical,market_history_unique_levels,market_history_median_changes,market_history_curve_failures,market_history_missing_dates,market_history_last_date,reasons,supplier_premium,market_premium,supplier_forecast,unchanged_forecast,pooled_forecast,supplier_ae,unchanged_ae,pooled_ae
Vattenfall Oy,24,2026-08-13,2026-09-12,10.2,10.56,9.95,7.565919439124487,2026-08-12,125,109,16,10,9,1,1,2026-08-12,126,109,17,37,50,1,0,2026-08-12,,2.6426318349454263,2.409254522042443,10.202565382220973,10.2,10.207552188350078,0.3574346177790275,0.3600000000000012,0.3524478116499221
Vattenfall Oy,24,2026-08-14,2026-09-13,10.2,10.56,9.95,7.4593920861833105,2026-08-13,126,109,17,10,9,1,1,2026-08-13,127,109,18,37,50,1,0,2026-08-13,,2.640494016427948,2.40296103175071,10.169965830783378,10.2,10.173705935380205,0.39003416921662293,0.3600000000000012,0.3862940646197952
Vihreä Älyenergia Oy,12,2026-07-27,2026-08-26,10.74,11.49,10.48,8.763114863013698,2026-07-24,109,109,0,3,3,1,0,2026-07-26,109,109,0,36,37,1,0,2026-07-26,,1.858473466793143,1.7431373134513115,10.704476498942052,10.74,10.747875652939502,0.7855235010579484,0.75,0.7421243470604981
Vihreä Älyenergia Oy,12,2026-07-28,2026-08-27,10.74,11.49,10.545,8.568218520547944,2026-07-27,110,109,1,3,3,1,0,2026-07-27,110,109,1,36,37,1,0,2026-07-27,,1.888076384341433,1.7365742693350592,10.654888471466814,10.74,10.667937836964901,0.8351115285331865,0.75,0.822062163035099
Vihreä Älyenergia Oy,12,2026-07-29,2026-08-28,10.74,11.49,10.6,8.490944904109588,2026-07-28,111,109,2,3,3,1,0,2026-07-28,111,109,2,37,38,1,0,2026-07-28,,1.9590026581190887,1.7966260718643083,10.652984268668604,10.74,10.64627129279217,0.8370157313313964,0.75,0.8437287072078306
Vihreä Älyenergia Oy,12,2026-07-30,2026-08-29,10.74,11.49,10.66,8.781259068493151,2026-07-29,112,109,3,3,3,1,0,2026-07-29,112,109,3,38,39,1,0,2026-07-29,,2.0315157675619195,1.8747333278708342,10.76183245081652,10.74,10.738797718909195,0.72816754918348,0.75,0.751202281090805
Vihreä Älyenergia Oy,12,2026-07-31,2026-08-30,10.74,11.49,10.66,8.746273794520546,2026-07-30,113,109,4,3,3,1,0,2026-07-30,113,109,4,39,40,1,0,2026-07-30,,2.0133220585481517,1.875735228779838,10.745878755920609,10.74,10.728602706990115,0.7441212440793912,0.75,0.7613972930098853
Vihreä Älyenergia Oy,12,2026-08-01,2026-08-31,10.74,11.49,10.815,8.888607986301372,2026-07-31,114,109,5,3,3,1,0,2026-07-31,114,109,5,39,40,1,0,2026-07-31,,2.0084230952809774,1.885232972954742,10.787109324474704,10.74,10.727652287776834,0.7028906755252962,0.75,0.7623477122231659
Vihreä Älyenergia Oy,12,2026-08-02,2026-09-01,10.74,11.49,10.815,8.888607986301372,2026-07-31,115,109,6,3,3,1,0,2026-08-01,115,109,6,40,41,1,0,2026-08-01,,1.9691653248853902,1.8955227331407134,10.775331993356028,10.74,10.730739215832626,0.7146680066439721,0.75,0.759260784167374
Vihreä Älyenergia Oy,12,2026-08-03,2026-09-02,10.74,11.49,10.99,8.888607986301372,2026-07-31,116,109,7,3,3,1,0,2026-08-02,116,109,7,40,41,1,0,2026-08-02,,1.9397219970886999,1.903240053280192,10.766498995017022,10.74,10.68055441187447,0.7235010049829782,0.75,0.8094455881255307
