basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
observed_seller_data,common,native_eligible,always_down,24,39,39,2026-05-19,2026-06-26,,,,0,16,0,23,16,23,0,0,0,39
observed_seller_data,common,native_eligible,always_down,all,117,39,2026-05-19,2026-06-26,,,,10,67,0,40,67,40,10,0,0,117
observed_seller_data,common,native_eligible,lag_7,6,39,39,2026-05-19,2026-06-26,1.1829307692307693,1.2911111031856366,-1.1829307692307693,1,0,35,3,36,3,0,1,35,3
observed_seller_data,common,native_eligible,lag_7,12,39,39,2026-05-19,2026-06-26,0.23265641025641015,0.3107950639808678,-0.10451794871794871,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,native_eligible,lag_7,24,39,39,2026-05-19,2026-06-26,0.19549487179487196,0.2769626786854423,-0.16539230769230806,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,lag_7,all,117,39,2026-05-19,2026-06-26,0.5370273504273505,0.7832134187539431,-0.484280341880342,38,0,76,3,67,40,10,1,113,3
observed_seller_data,common,native_eligible,lag_14,6,39,39,2026-05-19,2026-06-26,1.1510307692307693,1.252103738022226,-1.1510307692307693,1,4,31,3,36,3,0,1,31,7
observed_seller_data,common,native_eligible,lag_14,12,39,39,2026-05-19,2026-06-26,0.21923846153846158,0.28694007638511815,-0.08137692307692322,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,native_eligible,lag_14,24,39,39,2026-05-19,2026-06-26,0.17066923076923082,0.25781012740944037,-0.15412051282051317,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,lag_14,all,117,39,2026-05-19,2026-06-26,0.513646153846154,0.7564311909662814,-0.4621760683760685,38,4,72,3,67,40,10,1,109,7
observed_seller_data,common,native_eligible,lag_21,6,39,39,2026-05-19,2026-06-26,1.1364692307692308,1.2351635705028852,-1.1364692307692308,5,3,28,3,36,3,0,5,28,6
observed_seller_data,common,native_eligible,lag_21,12,39,39,2026-05-19,2026-06-26,0.2257461538461538,0.282323595478845,-0.07345384615384622,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,native_eligible,lag_21,24,39,39,2026-05-19,2026-06-26,0.17944615384615376,0.25358141766425907,-0.1490564102564104,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,lag_21,all,117,39,2026-05-19,2026-06-26,0.5138871794871794,0.7460203736820583,-0.45299316239316245,42,3,69,3,67,40,10,5,106,6
observed_seller_data,common,native_eligible,lag_30,6,39,39,2026-05-19,2026-06-26,1.1454076923076923,1.2644174048113004,-1.1454076923076923,4,0,32,3,36,3,0,4,32,3
observed_seller_data,common,native_eligible,lag_30,12,39,39,2026-05-19,2026-06-26,0.2482153846153846,0.3079800393132396,-0.08180512820512831,14,0,25,0,15,14,10,0,39,0
